teamId,email,phone,leaderName,college
TEAM_01,demo01@vibeathon.in,9000000001,Demo Leader 01,
TEAM_02,demo02@vibeathon.in,9000000002,Demo Leader 02,
TEAM_03,demo03@vibeathon.in,9000000003,Demo Leader 03,
TEAM_04,demo04@vibeathon.in,9000000004,Demo Leader 04,
TEAM_05,demo05@vibeathon.in,9000000005,Demo Leader 05,
TEAM_06,demo06@vibeathon.in,9000000006,Demo Leader 06,
TEAM_07,demo07@vibeathon.in,9000000007,Demo Leader 07,
TEAM_08,demo08@vibeathon.in,9000000008,Demo Leader 08,
TEAM_09,demo09@vibeathon.in,9000000009,Demo Leader 09,
TEAM_10,demo10@vibeathon.in,9000000010,Demo Leader 10,
